Mã ytcp,Sản phẩm,Tên sản phẩm,Hệ số,
622BNN,KGE05008800,Bình nước nóng treo tường kháng khuẩn Kangaroo.(30L-SX) KG69A3XK,0.78,
622BNN,KGE05008900,Bình nước nóng treo tường kháng khuẩn Hoàng Gia Kangaroo (22L_SX) KG73R2,0.83,
622NLMT,KGE18003901,Máy NNNL mặt trời 14 ống DI1414 (thiếu ống),4.38,
622NLMT,KGE18004001,Máy NNNL mặt trời 16 ống DI1616 (thiếu ống),4.38,
622NLMT,KGE18004101,Máy NNNL mặt trời 18 ống DI1818 (thiếu ống),4.38,
622NLMT,KGE18004701,Máy NNNL mặt trời 18 ống PT1820 (thiếu ống),4.38,
622NLMT,KGE18005701,Máy NNNL mặt trời 14 ống GD1414 (thiếu ống),4.38,
622NLMT,KGE18005801,Máy NNNL mặt trời 16 ống GD1616 (thiếu ống),4.38,
622NLMT,KGE18005901,Máy NNNL mặt trời 18 ống GD1818 (thiếu ống),4.38,
622NLMT,KGE18006001,Máy NNNL mặt trời 20 ống GD2020 (thiếu ống),4.38,
622RO,KGH01006600,Máy làm NL nước uống 3 vòi (dùng lõi RO) KG2266P,1.56,
622RO,KGH01006700,Máy làm NL nước uống 3 vòi (dùng lõi RO) 20 lít/giờ KG2265P,1.56,
622RO,KGH01006800,Máy làm NL nước uống 3 vòi (dùng lõi RO) KG120,1.56,
622RO,KGH01006802,Máy làm NL nước uống 3 vòi (dùng lõi RO) KG-120,1.56,
622RO,KGH01006900,Máy làm NL nước uống 3 vòi (dùng lõi RO) KG-2265P,1.56,
622RO,KGH03000217,"TB lọc nước RO, 6 lõi.Model KG-103 vỏ tủ VTU màu xanh (kèm carton)",1.13,
622RO,KGH03000705,Bộ lọc nước RO 65lit/h Model KG400VN,1.13,
622RO,KGH03001111,"TB lọc nước RO 8 lõi Maifan, Model KG-108",1.13,
622RO,KGH03001706,"TB lọc nước RO, 7 lõi model KG-114 vỏ tủ VTU màu xanh (kèm carton)",1.56,
622RO,KGH03002007,"TB lọc nước RO, 8 lõi model KG-118 vỏ tủ VTU màu xanh (kèm carton)",1.65,
622RO,KGH03002106,"TB lọc nước RO, 9 lõi model KG-109",1.13,
622RO,KGH03002107,"TB lọc nước RO, 9 lõi model KG-109 vỏ tủ VTU màu xanh (kèm carton)",1.65,
622INOX,KGH03002700,Vỏ thùng Bằng INOX 50lít,0.58,
622RO,KGH03003300,Vỏ tủ VTU màu vàng,0.52,
622RO,KGH03003400,Vỏ tủ VTU màu xanh,0.52,
622RO,KGH03004300,"TB lọc nước RO, 5 lõi - NANOSILVER Model KG102A",1.13,
622RO,KGH03004301,"TB lọc nước RO, 5 lõi NANOSILVER Model KG102A vỏ tủ VTU xanh (kèm carton)",1.65,
622RO,KGH03004400,"TB lọc nước RO, 6 lõi, Model KG103A",1.13,
622RO,KGH03004500,"TB lọc nước RO, 7 lõi.Model KG104A",1.13,
622RO,KGH03004503,"TB lọc nước RO, 7 lõi.Model KG104A vỏ tủ VTU màu xanh (kèm carton)",1.65,
622RO,KGH03004504,"TB lọc nước RO, 7 lõi.Model KG-104",1.13,
622RO,KGH03004505,"TB lọc nước RO, 7 lõi.Model KG-104 vỏ tủ VTU màu xanh (kèm carton)",1.65,
622RO,KGH03004800,"TB lọc nước RO 8 lõi - Maifan, Model KG108A",1.13,
622RO,KGH03004804,"TB lọc nước RO 8 lõi - Maifan, Model KG108A vỏ tủ VTU màu xanh (kèm carton)",1.65,
622RO,KGH03004805,"TB lọc nước RO 8 lõi - Maifan, Model KG-108 vỏ tủ VTU màu xanh (kèm carton)",1.65,
622RO,KGH03004900,TB lọc nước RO 9 lõi Model KG109A,1.13,
622RO,KGH03004904,TB lọc nước RO 9 lõi Model KG109A vỏ tủ VTU màu xanh (kèm carton),1.65,
622RO,KGH03005200,Máy lọc nước Hydrogen Kangaroo RO 9 lõi KG100HQ,1.13,
622RO,KGH03005202,Máy lọc nước Hydrogen Kangaroo RO 9 lõi vỏ tủ VTU màu đen (kèm carton) KG100HQ,1.65,
622RO,KGH03005400,Vỏ tủ VTU màu đen,0.52,
622RO,KGH03005500,Máy lọc nước Hydrogen Kangaroo RO 9 lõi KG100HA,1.13,
622RO,KGH03005502,Máy lọc nước Hydrogen Kangaroo RO 9 lõi vỏ tủ VTU màu đen (kèm carton) KG100HA,1.65,
622RO,KGH03005506,"Máy lọc nước Hydrogen Kangaroo RO 9 lõi vỏ tủ VTU màu đen (kèm carton, van chống rò) KG100HA",1.65,
622RO,KGH03006000,"TB lọc nước RO, 6 lõi, Model KG103A vỏ tủ VTU màu xanh (kèm carton)",1.65,
622RO,KGH03006100,"TB lọc nước RO, 6 lõi, Model KG06",1.13,
622RO,KGH03006200,"TB lọc nước RO, 6 lõi, Model KG06 vỏ tủ VTU màu xanh (kèm carton)",1.65,
622RO,KGH03006301,"TB lọc nước RO, 6 lõi, Model KG08 vỏ tủ VTU màu xanh (kèm carton)",1.65,
622RO,KGH03006400,"TB lọc nước RO, 9 lõi Omega model KG110A",1.13,
622RO,KGH03006401,"TB lọc nước RO, 9 lõi Omega model KG110A vỏ tủ VTU màu vàng (kèm carton)",1.65,
622RO,KGH03006500,"TB lọc nước RO, 9 lõi Omega model KG-110",1.13,
622RO,KGH03006501,"TB lọc nước RO, 9 lõi Omega model KG-110 vỏ tủ VTU màu vàng (kèm carton)",1.65,
622RO,KGH03006600,"TB lọc nước RO, 9 lõi KGMC09",1.13,
622RO,KGH03006601,"TB lọc nước RO, 9 lõi KGMC09 vỏ tủ VTU màu xanh (kèm carton)",1.65,
622RO,KGH03006602,"TB lọc nước RO, 9 lõi KGMC09 (lõi 2 canxi) vỏ tủ VTU màu xanh",1.56,
622RO,KGH03006800,TB lọc nước RO 8 lõi Model KG01G4,1.13,
622RO,KGH03006801,TB lọc nước RO 8 lõi Model KG01G4 vỏ tủ VTU màu trắng (kèm carton),1.65,
622RO,KGH03006900,TB lọc nước RO 9 lõi Model KG02G4,1.13,
622RO,KGH03006901,TB lọc nước RO 9 lõi Model KG02G4 vỏ tủ VTU màu trắng (kèm carton),1.65,
622RO,KGH03007000,Vỏ tủ VTU màu trắng,0.52,
622RO,KGH03007200,Máy lọc nước Hydrogen Kangaroo Plus RO 10 lõi KG100HP,1.13,
622RO,KGH03007201,Máy lọc nước Hydrogen Kangaroo Plus RO 10 lõi vỏ tủ VTU Diamond(kèm carton) KG100HP,1.65,
622RO,KGH03007202,TB lọc nước RO 10 lõi KG-100HP vỏ tủ VTU Blue (kèm carton),1.65,
622RO,KGH03007300,Vỏ tủ VTU Diamond,0.52,
622RO,KGH03007400,"TB lọc nước RO, 5 lõi (dùng cho máy làm NL nước uống) KG01G6",1.13,
622RO,KGH03007600,"TB lọc nước RO, 5 lõi (dùng cho máy làm NL nước uống) model KG02G6",1.65,
622RO,KGH03007800,TB lọc nước RO 3 lõi lọc thô 10'' model KG01G3,1.13,
622RO,KGH03007900,TB lọc nước RO 1 lõi lọc thô 10'' model KG02G3,1.13,
622RO,KGH03008100,TB lọc nước RO 1 lõi lọc thô 20'' model KG04G3,1.13,
622RO,KGH03008200,"Bộ lọc nước, 50lit/h Model KG300VN",1.65,
622RO,KGH03008300,"Bộ lọc nước, 35 lít/h Model KG200VN",1.13,
622RO,KGH03008400,"TB lọc nước RO, 5 lõi Nanosilver model KGHIMLAM",1.65,
622RO,KGH03008401,"TB lọc nước RO, 5 lõi Nanosilver model KGHIMLAM vỏ tủ VTU xanh(kèm carton)",1.65,
622RO,KGH03008501,"TB lọc nước RO 2 vòi, 9 lõi KG09A3 vỏ tủ VTU màu xanh(kèm carton)",1.65,
622RO,KGH03008601,"TB lọc nước RO 2 vòi, 10 lõi KG10A3 vỏ tủ VTU màu xanh(kèm carton)",1.65,
622RO,KGH03008800,Vỏ tủ VTU trụ tròn màu đen,0.54,
622RO,KGH03009300,Vỏ tủ VTU màu xanh 2 vòi 3 chức năng,0.52,
622RO,KGH03009400,Vỏ tủ VTU màu xanh 2 vòi 2 chức năng,0.52,
622RO,KGH03009700,Máy lọc nước Hydrogen Kangaroo RO 10 lõi vỏ tủ VTU trụ tròn đen KG100HC,2.22,
622RO,KGH03009801,TB lọc nước RO 10 lõi KG18BLUE vỏ tủ VTU blue (kèm carton),1.65,
622RO,KGH03009900,Vỏ tủ VTU màu Blue,0.52,
622RO,KGH03010000,Vỏ tủ VTU Diamond đen vàng,0.54,
622RO,KGH03010200,Vỏ tủ VTU Diamond đen,0.2,
622RO,KGH03010301,TB lọc nước RO 7 cấp lọc model KG07 vỏ tủ VTU màu trắng,1.65,
622RO,KGH03010400,Máy lọc nước Hydrogen Kangaroo RO 10 lõi KG100HM,1.56,
622RO,KGH03010401,Máy lọc nước Hydrogen Kangaroo RO 10 lõi vỏ tủ VTU Blue hình chấm KG100HM,1.65,
622RO,KGH03010500,Vỏ tủ VTU Blue hình khối,0.52,
622RO,KGH03010601,"TB lọc nước RO 2 vòi, 09 lõi model KG19A3 vỏ tủ VTU màu xanh",1.65,
622RO,KGH03010700,Máy lọc nước Hydrogen Kangaroo RO 10 lõi KG100HG,1.73,
622RO,KGH03010701,Máy lọc nước Hydrogen Kangaroo RO 10 lõi vỏ tủ VTU Diamond đen vàng KG100HG,1.73,
622RO,KGH03010801,TB lọc nước RO 10 lõi model KG10G4 vỏ tủ VTU màu vàng,1.65,
622RO,KGH03010900,Vỏ tủ VTU Blue hình chấm,0.52,
622RO,KGH03011000,TB lọc nước RO 7 lõi model KG09,1.13,
622RO,KGH03011001,TB lọc nước RO 7 lõi model KG09 vỏ tủ VTU màu xanh,1.65,
622RO,KGH03011101,"TB lọc nước RO, 7 lõi Model KG2207P vỏ tủ VTU màu xanh",1.14,
622RO,KGH03011200,Máy lọc nước RO 9 lõi Model KG2209P,1.13,
622RO,KGH03011201,Máy lọc nước RO 9 lõi Model KG2209P vỏ tủ VTU màu xanh,1.13,
622RO,KGH03011301,TB lọc nước RO 9 lõi KG99A vỏ tủ VTU BLACK hoa lục giác,1.13,
622RO,KGH03011400,Vỏ tủ VTU Black hoa lục giác,0.54,
622RO,KGH03011500,Máy lọc nước Hydrogen Kangaroo RO 9 lõi KG100HB,1.73,
622RO,KGH03011501,Máy lọc nước Hydrogen Kangaroo RO 9 lõi Vỏ tủ VTU Diamond bạc KG100HB,1.73,
622RO,KGH03011600,"TB lọc nước RO, 9 lõi Omega model KG09G4",1.73,
622RO,KGH03011601,"TB lọc nước RO, 9 lõi Omega model KG09G4 vỏ tủ VTU Black vân gỗ",1.73,
622RO,KGH03011700,Vỏ tủ VTU Black vân gỗ,0.54,
622RO,KGH03011800,TB lọc nước RO 9 lõi Model KG08G4,1.73,
622RO,KGH03011801,TB lọc nước RO 9 lõi Model KG08G4 vỏ tủ VTU Green hình khối,1.73,
622RO,KGH03011900,Vỏ tủ VTU Green hình khối,0.54,
622RO,KGH03012000,TB lọc nước RO 8 lõi Model KG06G4,1.73,
622RO,KGH03012001,TB lọc nước RO 8 lõi Model KG06G4 vỏ tủ VTU Green hình khối,1.73,
622RO,KGH03012101,TB lọc nước RO 7 lõi Model KG177A vỏ tủ VTU Blue hình khối,1.13,
622RO,KGH03012201,TB lọc nước RO 8 lõi Model KG188A vỏ tủ VTU Diamond bạc,1.13,
622RO,KGH03012301,Máy lọc nước Hydrogen Kangaroo RO 9 lõi vỏ tủ VTU Diamond đen KG199HQ,1.13,
622RO,KGH03012400,Vỏ tủ VTU Diamond bạc Hydrogen,0.54,
622RO,KGH03012801,Máy lọc nước Hydrogen Kangaroo RO 10 lõi 2 vòi 3 chức năng vỏ tủ VTU màu đen KG100HK,3.6,
622RO,KGH03012900,TB lọc nước RO 8 lõi Model KG108H,1.13,
622RO,KGH03012901,TB lọc nước RO 8 lõi Model KG108H vỏ tủ VTU Blue hình khối,1.13,
622RO,KGH03013300,Vỏ tủ VTU màu đen 2 vòi 3 chức năng,0.54,
622RO,KGH03013400,Máy lọc nước Hydrogen Kangaroo RO 10 lõi 2 vòi 3 chức năng vỏ tủ VTU BLACK hoa lục giác KG10A4,3.6,
622RO,KGH03013501,TB lọc nước RO 9 lõi Kangaroo model KG19G4MK vỏ tủ VTU Green hình khối,2.71,
622RO,KGH03013600,Máy lọc nước Hydrogen Kangaroo RO 5 lõi UNDERSINK thân vỏ trắng KG100HU,1.56,
622RO,KGH03014000,Máy lọc nước RO ( 40-50L/h ) Model KG300P vỏ tủ Inox 3 vòi,2.56,
622RO,KGH03014200,Máy lọc nước Hydrogen Kangaroo RO 5 lõi UNDERSINK thân vỏ trắng KG100HU+,1.73,
622RO,KGH03014400,Máy lọc nước Hydrogen Kangaroo Superstyrene RO 10 lõi vỏ tủ VTU màu đen KG10G5,2.7,
622RO,KGH03014600,Máy lọc nước RO 6 lõi model KG103XK vỏ tủ VTU màu đen,1.31,
622RO,KGH03014700,Máy lọc nước RO 7 lõi model KG07G4 vỏ tủ VTU màu xanh,1.4,
622RO,KGH03014800,Máy lọc nước RO 8 lõi model KG08G5 vỏ tủ VTU màu xanh,1.4,
622RO,KGH03014900,Máy lọc nước RO 6 lõi model K0358 xuất khẩu Pakistan,1.07,
622RO,KGH03015000,Máy lọc nước RO 6 lõi model K1358 smart xuất khẩu Pakistan,1.56,
622RO,KGH03015100,Máy lọc nước RO 6 lõi model K3358G smart Vỏ tủ VTU màu vàng xuất khẩu Pakistan,1.24,
622RO,KGH03015200,Máy lọc nước RO 6 lõi model K2358 chân quỳ xuất khẩu Pakistan,1.56,
622RO,KGH03015400,Máy lọc nước 200GPD Model K4358 xuất khẩu,2.2,
622RO,KGH03015500,Máy lọc nước 400GPD Model K5358 xuất khẩu,2.2,
622RO,KGH03015600,Máy lọc nước 600GPD Model K6358 xuất khẩu,2.2,
622RO,KGH03015700,Máy lọc nước RO nước lợ model KG3500A vỏ tủ VTU Black hoa lục giác,1.73,
622RO,KGH03015900,Máy lọc nước Kangaroo RO 5 lõi KG001 xuất khẩu Bangladesh,1.2,
622RO,KGH03016000,Máy lọc nước Kangaroo RO 5 lõi vỏ tủ VTU màu đen KG001C xuất khẩu Bangladesh,1.56,
622RO,KGH03016100,Máy lọc nước Hydrogen Kangaroo RO 5 lõi vỏ tủ VTU trụ tròn đen KG100HCB xuất khẩu Bangladesh,2.2,
622RO,KGH03016200,Máy lọc nước Hydrogen Kangaroo RO 5 lõi 2 vòi 3 chức năng vỏ tủ VTU màu đen KG100HKB xuất khẩu Bangladesh,3.6,
622RO,KGH03016300,Máy lọc nước Kangaroo RO 5 lõi KG002 xuất khẩu Bangladesh,1.2,
622RO,KGH03016500,Máy lọc nước RO 6 lõi model K3358B vỏ tủ VTU màu đen xuất khẩu Pakistan,1.73,
622RO,KGH03016600,Máy lọc nước RO 6 lõi model K3358X vỏ tủ VTU màu xanh xuất khẩu Pakistan,1.73,
622RO,KGH03016700,Máy lọc nước Hydrogen Kangaroo công nghệ điện phân RO 5 lõi DESKTOP cơ KG100MED,2.3,
622RO,KGH03016800,Máy lọc nước RO 7 lõi lọc model KG88A vỏ tủ VTU màu đen,1.31,
622RO,KGH03016900,Máy lọc nước RO 8 lõi lọc model KG-08G4 vỏ tủ VTU màu xanh,1.7,
622RO,KGH03017000,Máy lọc nước RO 9 lõi lọc model KG09G5 vỏ tủ VTU màu xanh,1.7,
622RO,KGH03017100,Máy lọc nước Hydrogen Kangaroo ion kiềm điện phân KG100ES,2.71,
622RO,KGH03017200,Máy lọc nước Hydrogen Kangaroo ion kiềm điện phân KG100EO,2.71,
622RO,KGH03017300,Máy lọc nước RO 5 cấp model KG100EI chân quỳ xuất khẩu Indonesia,1.56,
622RO,KGH03017400,Máy lọc nước Hydrogen Kangaroo công nghệ điện phân RO 5 lõi DESKTOP IOT KG100EED,2.5,
622RO,KGH03017800,Máy lọc nước Kangaroo RO 8 lõi 2 vòi có đèn UV KG19A3-UV vỏ tủ VTU màu xanh,1.65,
622RO,KGH03017900,Máy lọc nước Hydrogen Kangaroo RO 8 lõi 2 vòi 3 chức năng có đèn UV vỏ tủ VTU màu đen KG100HK-UV,3.6,
622RO,KGH03018000,Máy lọc nước Kangaroo RO 8 lõi có đèn UV KG108A-UV,1.13,
622RO,KGH03018700,Máy lọc lọc nước RO 6 lõi Model KGB002,1.14,
622RO,KGH03018800,Máy lọc lọc nước RO 6 lõi Model KGB002G chân quỳ có đồng hồ áp,1.16,
622RO,KGH03018900,Máy lọc lọc nước RO 6 lõi model KGB002 vỏ VTU Black hoa lục giác,1.31,
622RO,KGH03019000,CP gia công máy lọc nước RO 6 lõi model K0358B xuất khẩu Pakistan,1.56,
622RO,KGH03019100,CPgia công máy lọc nước RO 6 lõi model K1358B smart xuất khẩu Pakistan,1.57,
622RO,KGH03019200,CP gia công máy lọc nước RO 6 lõi model K2358B chân quỳ xuất khẩu Pakistan,1.57,
622RO,KGH03019300,CP gia công máy lọc nước RO 6 lõi model K0358G xuất khẩu Pakistan,1.56,
622RO,KGH03019400,CP gia công máy lọc nước RO 6 lõi model K0358W xuất khẩu Pakistan,1.56,
622RO,KGH03019500,CP gia công máy lọc nước RO 6 lõi model K1358G smart xuất khẩu Pakistan,1.57,
622RO,KGH03019600,CP gia công máy lọc nước RO 6 lõi model K1358W smart xuất khẩu Pakistan,1.57,
622RO,KGH03019700,CP gia công máy lọc nước RO 6 lõi model K2358G chân quỳ xuất khẩu Pakistan,1.57,
622RO,KGH03019800,CP gia công máy lọc nước RO 6 lõi model K2358W chân quỳ xuất khẩu Pakistan,1.57,
622RO,KGH03019900,Máy lọc nước hydrogen Kangaroo hai vòi 3 chức năng 4 cấp lọc thô vỏ VTU màu đen KG10A5,3.6,
622RO,KGH03020000,TB lọc nước 1 lõi lọc thô 10'' model KG01Q,0.05,
622RO,KGH03020100,TB lọc nước 2 lõi lọc thô 10'' model KG02Q,0.08,
622RO,KGH03020200,TB lọc nước 3 lõi lọc thô 10'' model KG03Q,0.085,
622RO,KGH03020300,Máy lọc nước RO 7 lõi KG100EM vỏ tủ VTU Blue hình khối xuất khẩu Myanmar,1.73,
622RO,KGH03020400,Máy lọc nước Hydrogen Kangaroo 10 lõi Model KG50G4 vỏ tủ VTU màu trắng,1.56,
622RO,KGH03020500,Máy lọc nước RO 5 lõi model KG100M5 chân quỳ xuất khẩu Myanmar,1.56,
622RO,KGH03020800,CP gia công máy lọc nước RO 6 lõi Xuất khẩu Ả rập KG75AR6,1.73,
622RO,KGH03021000,CP gia công máy lọc nước RO 6 cấp lọc xuất khẩu Banglades KG10BL61,1.53,
622BNN,KGH21078100,Mô hình BNN 22L KG69A2,0.78,
622BNN,KGH21078200,Mô hình BNN 22L KG69A2N,0.78,
622BNN,KGH21078300,Mô hình BNN 30L KG69A3,0.78,
622BNN,KGH21078400,Mô hình BNN 30L KG69A3N,0.78,
622BNN,KGH21078500,Mô hình BNN 15L KG816,0.78,
622BNN,KGH21152600,Mô hình BNN 22L KG68A2,0.52,
622BNN,KGH21152800,Mô hình BNN 30L KG68A3,0.54,
622BNN,KGH21153000,Mô hình BNN 32L KG518,0.52,
622BNN,KGH21153100,Mô hình BNN 32L KG518N,0.54,
622BNN,KGH21153200,Mô hình BNN 15L KG516,0.52,
622BNN,KGH21153300,Mô hình BNN 15L KG516N,0.54,
622BNN,KGH21153600,Mô hình BNN (SX) KG64P,0.52,
622BNN,KGH21157900,Mô hình BNN 22L KG68A2 có mặt hiển thị,0.78,
622BNN,KGH21195300,Mô hình Bình nước nóng treo tường kháng khuẩn Kangaroo (22L-SX) KG70A2,0.7,
622BNN,KGH21195500,Mô hình Bình nước nóng treo tường kháng khuẩn Kangaroo (22L-SX) KG72A2,0.83,
622BNN,KGH21195600,Mô hình Bình nước nóng treo tường kháng khuẩn Kangaroo (30L_SX) KG72A3,0.54,
622BNN,KGH21198200,Mô hình Bình nước nóng trực tiếp kháng khuẩn ống thạch anh (có bơm-màu trắng) 588WP,0.54,
622BNN,KGH21198300,Mô hình Bình nước nóng trực tiếp kháng khuẩn ống thạch anh (không bơm-màu trắng) 588W,0.54,
622TD,KGH21200400,"Hàng mẫu tủ đông mềm kháng khuẩn 1 ngăn, 1 cánh không kính KG399DM1 mã MT260919-1",5,
622TD,KGH21200600,"Hàng mẫu tủ đông mềm kháng khuẩn 2 ngăn, 2 cánh có kính KG408S2 mã MT260919-3",5,
622TD,KGH21200700,"Hàng mẫu tủ đông mềm kháng khuẩn 1 ngăn, 1 cánh không kính KG268DM1 mã MT260919-4",5,
622TD,KGH21200800,"Hàng mẫu tủ đông mềm kháng khuẩn 2 ngăn, 2 cánh có kính KG268DM2 mã MT260919-5",5,
622TD,KGH21202200,"Hàng mẫu tủ đông mềm kháng khuẩn 2 ngăn, 2 cánh có kính KG328DM2 mã MT260919-6",5,
622RO,KGH21203900,Hàng mẫu máy lọc RO nước lợ KG3500PPM,6,
622RO,KGH21209100,Mô hình máy lọc nước RO 8 lõi KG08G5 mã QT140320,1.56,
622RO,KGH21209200,Mô hình máy lọc nước RO 10 lõi KG10A3 mã QT140320,1.73,
622BNN,KGH21214400,Mô hình bình nước nóng treo tường kháng khuẩn Kangaroo (32L-SX) KG60XK,0.54,
622BNN,KGH21214500,Mô hình bình nước nóng treo tường kháng khuẩn Kangaroo.(30L-SX) KG69A3XK,0.78,
622TD,KGH21214900,Hàng mẫu tủ đông 2 ngăn 2 cánh có kính KG400VNC mã MT080920,5.52,
622BNN,KGH21215000,Mô hình Bình nước nóng trực tiếp kháng khuẩn ống thạch anh (không bơm-màu trắng) 588WXK,0.54,
622BNN,KGH21215100,Mô hình Bình nước nóng trực tiếp kháng khuẩn ống thạch anh (có bơm-màu trắng) 588WPXK,0.54,
622BNN,KGH21220700,Mô hình bình nước nóng 22L KG73R2,0.83,
622TD,KGH21220800,Hàng mẫu tủ đông dựng lắp ghép thử nghiệm trong sản xuất KG265M1-Không cánh mã TH091220,4,
622TD,KGH21221900,Hàng mẫu tủ đông KG265NC1 vỏ tôn nhám PCM màu ghi nhám mã TM291220,4.44,
622TD,KGH21222000,Hàng mẫu Tủ đông KG265NC1 vỏ tôn trơn PCM màu trắng sữa mã TM291220,4.44,
622RO,KGP01003601,Máy lọc nước Hydrogen Kangaroo RO 8 lõi vỏ tủ VTU Blue hình chấm KG2208PH,1.14,
622RO,KGP01003800,Máy lọc nước Hydrogen Kangaroo RO 9 lõi vỏ tủ VTU màu đen KG2209PH,1.13,
622RO,KGP01006800,Hệ thống thiết bị lọc RO công suất 100 lít/giờ KG100PA,1.56,
622RO,KGP01007200,Máy lọc nước Kangaroo RO 9 lõi KG2209P3 vỏ tủ VTU màu xanh,1.13,
622RO,KGP01007400,Máy lọc nước RO 6 lõi model KG2206P vỏ tủ VTU màu xanh,1.65,
622RO,KGP01007800,"Bộ lọc nước, 35 lít/h Model KG2007",1.3,
622TD,KGW44001600,Tủ đông kháng khuẩn 2 ngăn 2 cánh KG298C2,4.4,
622TD,KGW44007900,Tủ đông 2 ngăn 2 cánh (SX) KG388NC2,0.2,
622TD,KGW44008100,Tủ đông kháng khuẩn 1 ngăn 2 cánh KG399IC1,4.44,
622TD,KGW44008200,Tủ đông kháng khuẩn 2 ngăn 2 cánh KG320IC2,4.44,
622TD,KGW44008400,Tủ đông 2 ngăn 2 cánh (SX) KG400IC2,4.44,
622TD,KGW44008600,Tủ đông kháng khuẩn 1 ngăn 1 cánh KG329IC1,4.44,
622TD,KGW44008700,Tủ đông kháng khuẩn 2 ngăn 2 cánh KG400NC2,4.44,
622TD,KGW44008800,Tủ đông kháng khuẩn 2 ngăn 2 cánh KG320NC2,4.44,
622TD,KGW44008900,Tủ đông kháng khuẩn 1 ngăn 2 cánh KG399NC1,4.44,
622TD,KGW44009000,Tủ đông mềm 2 ngăn 2 cánh KG400DM1,4.44,
622TD,KGW44009300,Tủ đông kháng khuẩn 1 ngăn 1 cánh KG265NC1,4.44,
622TD,KGW44009500,Tủ đông kháng khuẩn 2 ngăn 2 cánh KG266NC2,4.44,
622TD,KGW44009600,Tủ đông kháng khuẩn 2 ngăn 2 cánh KG328NC2,4.44,
622TD,KGW44009700,Tủ đông kháng khuẩn 1 ngăn 1 cánh KG329NC1,4.44,
