Năm,Mã Bộ phận,Mã hàng,Tên model,Tên hàng,KH tháng 01,KH tháng 02,KH tháng 03,KH tháng 04,KH tháng 05,KH tháng 06,KH tháng 07,KH tháng 08,KH tháng 09,KH tháng 10,KH tháng 11,KH tháng 12
2021,04540000,KGW44008800,KG320NC2,,0,0,0,0,0,,0,,,,,
2021,04540000,KGW44009600,KG328NC2,,150,150,150,150,150,,225,,,,,
2021,04540000,KGW44008700,KG400NC2,,300,300,300,300,300,,450,,,,,
2021,04540000,KGW44008200,KG320IC2,,50,50,50,50,50,,75,,,,,
2021,04540000,KGW44008400,KG400IC2,,50,50,50,50,50,,75,,,,,
2021,04540000,KGW44011300,KG168NC1,,200,200,200,200,200,,300,,,,,
2021,04540000,KGW44001600,KG298C2,,100,100,100,100,100,,150,,,,,
2021,04540000,KGW44011900,KG398C2,,100,100,100,100,100,,150,,,,,
2021,04540000,KGW44012700,KG498KX2,,200,200,200,200,200,,300,,,,,
2021,04540000,KGW44011800,KG498C2,,100,100,100,100,100,,150,,,,,
2021,04540000,KGW44010400,KG400DM2,,0,0,0,0,0,,0,,,,,
2021,04540000,KGW44010700,KG268DM2,,0,0,0,0,0,,0,,,,,
2021,04540000,KGW44010500,KG408S2,,504,504,504,504,504,,756,,,,,
2021,04530000,KGE05003000,KG664Y,,437,,,,,,,,,,,
2021,04530000,KGE05000100,KG60,,132,,,,,,,,,,,
2021,04530000,KGE05002900,KG660Y,,"2,963",,,,,,,,,,,
2021,04530000,KGE05001400,KG65,,"1,613",,,,,,,,,,,
2021,04530000,KGE05003200,KG665Y,,213,,,,,,,,,,,
2021,04530000,KGE05005200,KG69A2,,8,,,,,,,,,,,
2021,04530000,KGE05005300,KG69A2N,,535,,,,,,,,,,,
2021,04530000,KGE05005400,KG69A3,,1,,,,,,,,,,,
2021,04530000,KGE05005500,KG69A3N,,227,,,,,,,,,,,
2021,04530000,KGE05005600,KG68A2,,273,,,,,,,,,,,
2021,04530000,KGE05006300,KG68A3,,11,,,,,,,,,,,
2021,04530000,KGE05006000,KG516,,691,,,,,,,,,,,
2021,04530000,KGE05006100,KG516N,,85,,,,,,,,,,,
2021,04530000,KGE05005900,KG518N,,395,,,,,,,,,,,
2021,04530000,KGE05007900,KG70A2,,176,,,,,,,,,,,
2021,04530000,KGE05008000,KG70A3,,375,,,,,,,,,,,
2021,04530000,KGE05008100,KG72A2,,669,,,,,,,,,,,
2021,04530000,KGE05008900,KG73R2,,504,,,,,,,,,,,
2021,04530000,KGE05008600,KG15Ei,,113,,,,,,,,,,,
2021,04530000,KGE18005700,GD1414,,406,,,,,,,,,,,
2021,04530000,KGE18005800,GD1616,,160,,,,,,,,,,,
2021,04530000,KGE18006000,GD2020,,16,,,,,,,,,,,
2021,04530000,KGE18005900,GD1818,,143,,,,,,,,,,,
2021,04520000,KGH03013600,KG100HU,Máy lọc nước Hydrogen Kangaroo RO 5 lõi UNDERSINK thân vỏ trắng KG100HU,437,,,,,,,,,,,
2021,04520000,KGH03014200,KG100HU+,Máy lọc nước Hydrogen Kangaroo RO 5 lõi UNDERSINK thân vỏ trắng KG100HU+,132,,,,,,,,,,,
2021,04520000,KGH03017100,KG100ESVTU,Máy lọc nước hydrogen ion kiềm Kangaroo KG100ES VTU,"2,963",,,,,,,,,,,
2021,04520000,KGH03017200,KG100EOVTU,Máy lọc nước hydrogen ion kiềm Kangaroo KG100EO VTU,"1,613",,,,,,,,,,,
2021,04520000,KGH03016700,KG100MED,Máy lọc nước Hydrogen Kangaroo công nghệ điện phân RO 5 lõi DESKTOP cơ KG100MED,213,,,,,,,,,,,
2021,04520000,KGH03016800,KG88AVTU,Máy lọc nước RO 7 lõi lọc model KG88A vỏ tủ VTU màu đen,8,,,,,,,,,,,
2021,04520000,KGH03016900,KG-08G4VTU,Máy lọc nước RO 8 lõi lọc model KG-08G4 vỏ tủ VTU màu xanh,535,,,,,,,,,,,
2021,04520000,KGH03017000,KG09G5VTU,Máy lọc nước RO 9 lõi lọc model KG09G5 vỏ tủ VTU màu xanh,1,,,,,,,,,,,
2021,04520000,KGH03014400,KG10G5VTU,KG10G5,227,,,,,,,,,,,
2021,04520000,KGH03013400,KG10A4VTU,,273,,,,,,,,,,,
2021,04520000,KGH03008601,KG10A3VTU,"TB lọc nước RO 2 vòi, 10 lõi KG10A3 vỏ tủ VTU màu xanh(kèm carton)",11,,,,,,,,,,,
2021,04520000,KGH03011301,KG99AVTU,TB lọc nước RO 9 lõi KG99A vỏ tủ VTU BLACK hoa lục giác,691,,,,,,,,,,,
2021,04520000,KGH03014700,KG07G4VTU,,85,,,,,,,,,,,
2021,04520000,KGH03014800,KG08G5VTU,,395,,,,,,,,,,,
2021,04520000,KGH03015700,KG3500AVTU,,176,,,,,,,,,,,
2021,04520000,KGH03009700,KG100HCVTU,TB lọc nước RO 10 lõi Model KG100HC vỏ tủ Trụ tròn màu đen,375,,,,,,,,,,,
2021,04520000,KGH03010701,KG100HGVTU,TB lọc nước RO 10 lõi Hydrogen KG100HG vỏ tủ VTU Diamond đen vàng,669,,,,,,,,,,,
2021,04520000,KGH03005502,KG100HAVTU,TB lọc nước RO 9 lõi Hydrogen KG100HA vỏ tủ VTU màu đen (kèm carton),504,,,,,,,,,,,
2021,04520000,KGH03007201,KG100HPVTU,TB lọc nước RO 10 lõi Hydrogen Plus KG100HP vỏ tủ VTU Diamond(kèm carton),113,,,,,,,,,,,
2021,04520000,KGH03011501,KG100HBVTU,TB lọc nước RO 9 lõi Hydrogen KG100HB Vỏ tủ VTU Diamond bạc,406,,,,,,,,,,,
2021,04520000,KGH03012001,KG06G4VTU,TB lọc nước RO 8 lõi Model KG06G4 vỏ tủ VTU Green hình khối,160,,,,,,,,,,,
2021,04520000,KGH03011601,KG09G4VTU,"TB lọc nước RO, 9 lõi Omega model KG09G4 vỏ tủ VTU Black vân gỗ",16,,,,,,,,,,,
2021,04520000,KGH03011801,KG08G4VTU,TB lọc nước RO 9 lõi Model KG08G4 vỏ tủ VTU Green hình khối,143,,,,,,,,,,,
2021,04520000,KGH03012000,KG06G4,,49,,,,,,,,,,,
2021,04520000,KGH03011800,KG08G4,,96,,,,,,,,,,,
2021,04520000,KGH03011600,KG09G4,,5,,,,,,,,,,,
2021,04520000,KGH03004904,KG109AVTU,,375,,,,,,,,,,,
2021,04520000,KGH03006601,KGMC09VTU,"TB lọc nước RO, 9 lõi  KGMC09 vỏ tủ VTU màu xanh (kèm carton)",96,,,,,,,,,,,
2021,04520000,KGH03012801,KG100HKVTU,TB lọc nước RO 10 lõi Hydrogen 2 vòi 3 chức năng KG100HK vỏ tủ VTU màu đen,197,,,,,,,,,,,
2021,04520000,KGH03013501,KG19G4MKVTU,TB lọc nước RO 9 lõi Kangaroo model KG19G4MK vỏ tủ VTU Green hình khối,326,,,,,,,,,,,
2021,04520000,KGH03006600,KGMC09,"TB lọc nước RO, 9 lõi  KGMC09",0,,,,,,,,,,,
2021,04520000,KGH03010401,KG100HMVTU,TB lọc nước RO 10 lõi Hydrogen KG100HM vỏ tủ VTU Blue hình chấm,61,,,,,,,,,,,
2021,04520000,KGH03008501,KG09A3VTU,"TB lọc nước RO 2 vòi, 9 lõi KG09A3 vỏ tủ VTU màu xanh(kèm carton)",228,,,,,,,,,,,
2021,04520000,KGH03010601,KG19A3VTU,"TB lọc nước RO 2 vòi, 09 lõi model KG19A3 vỏ tủ VTU màu xanh",197,,,,,,,,,,,
2021,04520000,KGH03006501,KG-110VTU,"TB lọc nước RO, 9 lõi Omega model KG-110 vỏ tủ VTU màu vàng (kèm carton)",293,,,,,,,,,,,
2021,04520000,KGH03006401,KG110AVTU,"TB lọc nước RO, 9 lõi Omega model KG110A vỏ tủ VTU màu vàng (kèm carton)",32,,,,,,,,,,,
2021,04520000,KGH03011001,KG09VTU,TB lọc nước RO 7 lõi model KG09 vỏ tủ VTU màu xanh,161,,,,,,,,,,,
2021,04520000,KGH03002107,KG-109VTU,"TB lọc nước RO, 9 lõi model KG-109 vỏ tủ VTU màu xanh (kèm carton)",233,,,,,,,,,,,
2021,04520000,KGH03004804,KG108AVTU,"TB lọc nước RO 8 lõi - Maifan, Model KG108A vỏ tủ VTU màu xanh (kèm carton)",220,,,,,,,,,,,
2021,04520000,KGH03006000,KG103AVTU,"TB lọc nước RO, 6 lõi, Model KG103A vỏ tủ VTU màu xanh (kèm carton)",349,,,,,,,,,,,
2021,04520000,KGH03004503,KG104AVTU,"TB lọc nước RO, 7 lõi.Model KG104A vỏ tủ VTU màu xanh (kèm carton)",112,,,,,,,,,,,
2021,04520000,KGH03004500,KG104A,"TB lọc nước RO, 7 lõi.Model KG104A",87,,,,,,,,,,,
2021,04520000,KGH03004805,KG-108VTU,"TB lọc nước RO 8 lõi - Maifan, Model KG-108 vỏ tủ VTU màu xanh (kèm carton)",122,,,,,,,,,,,
2021,04520000,KGH03004400,KG103A,"TB lọc nước RO, 6 lõi, Model KG103A",195,,,,,,,,,,,
2021,04520000,KGH03004800,KG108A,"TB lọc nước RO 8 lõi - Maifan, Model KG108A",143,,,,,,,,,,,
2021,04520000,KGH03002106,KG-109,"TB lọc nước RO, 9 lõi model KG-109",23,,,,,,,,,,,
2021,04520000,KGH03001111,KG-108,"TB lọc nước RO 8 lõi Maifan, Model KG-108",236,,,,,,,,,,,
2021,04520000,KGH03004900,KG109A,TB lọc nước RO 9 lõi Model KG109A,369,,,,,,,,,,,
2021,04520000,KGH03011000,KG09,,37,,,,,,,,,,,
2021,04520000,KGH03005500,KG100HA,TB lọc nước RO 9 lõi Hydrogen KG100HA,102,,,,,,,,,,,
2021,04520000,KGH03011500,KG100HB,TB lọc nước RO 9 lõi Hydrogen model KG100HB,43,,,,,,,,,,,
2021,04520000,KGH03010400,KG100HM,TB lọc nước RO 10 lõi Hydrogen KG100HM,23,,,,,,,,,,,
2021,04520000,KGH03010700,KG100HG,TB lọc nước RO 10 lõi Hydrogen KG100HG,198,,,,,,,,,,,
2021,04520000,KGH03006500,KG-110,"TB lọc nước RO, 9 lõi Omega model KG-110",705,,,,,,,,,,,
2021,04520000,KGH03006400,KG110A,"TB lọc nước RO, 9 lõi Omega model KG110A",87,,,,,,,,,,,
2021,04520000,KGH03005200,KG100HQ,TB lọc nước RO 9 lõi Hydrogen model KG100HQ,17,,,,,,,,,,,
2021,04520000,KGH03005202,KG100HQVTU,TB lọc nước RO 9 lõi Hydrogen model KG100HQ vỏ tủ VTU màu đen (kèm carton),21,,,,,,,,,,,
2021,04520000,KGH03007200,KG100HP,,10,,,,,,,,,,,
2021,04520000,KGH03006200,KG06 VTU,,27,,,,,,,,,,,
2021,04520000,KGH03008300,KG200VN,,2,,,,,,,,,,,
2021,04520000,KGH03008200,KG300VN,,10,,,,,,,,,,,
2021,04520000,KGH03000705,KG400VN,,5,,,,,,,,,,,
2021,04520000,KGH03007800,KG01G3,,"1,443",,,,,,,,,,,
2021,04520000,KGH03007900,KG02G3,,861,,,,,,,,,,,
2021,04520000,KGH03012301,KG199HQVTU,Máy lọc nước Hydrogen Kangaroo RO 9 lõi vỏ tủ VTU Diamond đen KG199HQ,0,,,,,,,,,,,
2021,04520000,KGP01003800,KG2209PH (dự án),Máy lọc nước Hydrogen Kangaroo RO 9 lõi vỏ tủ VTU màu đen KG2209PH,0,,,,,,,,,,,
2021,04520000,KGH03020500,KG100M5,,75,,,,,,,,,,,
2021,04520000,KGH03020400,KG50G4VTU,,0,,,,,,,,,,,
2021,04520000,KGH03019900,KG10A5VTU,,138,,,,,,,,,,,
